channelKey,displayName,groups,sourceFile,sourceRole,originalName,host,kind,durable,continuousUpdate,updateMode,signedExpireAt,youtubeVideoId,url
ebsplus1,EBS PLUS1,한국,sources/live-base.txt,durable-base-hls,EBS PLUS1,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/3008/48ef33bf0d3170d8e148bd3bf270c8ac/index.m3u8
ebsplus1,EBS PLUS1,한국,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,EBS PLUS1,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/3008/48ef33bf0d3170d8e148bd3bf270c8ac/index.m3u8
ebsplus2,EBS PLUS2,한국,sources/live-base.txt,durable-base-hls,EBS PLUS2,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/3009/c8a9fe2a630d5cf87c471fca8d0fc4c9/index.m3u8
ebsplus2,EBS PLUS2,한국,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,EBS PLUS2,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/3009/c8a9fe2a630d5cf87c471fca8d0fc4c9/index.m3u8
ebs1,EBS1,한국,sources/live-base.txt,durable-base-hls,EBS1,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/2439/b6a985fc54e1fa5129d73c31374746e6/index.m3u8
ebs1,EBS1,한국,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,EBS1,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/2439/b6a985fc54e1fa5129d73c31374746e6/index.m3u8
ebs2,EBS2,한국,sources/live-base.txt,durable-base-hls,EBS2,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/3006/9e6e7fd8d7965fda01a923371c1441f5/index.m3u8
ebs2,EBS2,한국,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,EBS2,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/3006/9e6e7fd8d7965fda01a923371c1441f5/index.m3u8
ebse,EBSe,한국,sources/live-base.txt,durable-base-hls,EBSe,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/3010/34ad6c4f9831b9e6912278a6226aa5a5/index.m3u8
ebse,EBSe,한국,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,EBSe,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/3010/34ad6c4f9831b9e6912278a6226aa5a5/index.m3u8
elevensport1,Eleven Sport 1,台灣頻道,sources/live-base.txt,durable-base-hls,Eleven Sport 1,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/3496/15142a6a93478934a99b2e846ca71967/index.m3u8
